title,url,author,date,text,images,keyword,item_index
난 사실 로아 지금 잼있는데,https://www.inven.co.kr/board/lostark/6271/2059670?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,제라시,2025-05-28 16:07,유각 배운다고 숨 존나 참다가  이제 한창 카르마 하고 상재 강화하고있어서 인듯  이거 다하면 나도 로아망겜단 합류해야지,https://upload3.inven.co.kr/upload/2024/11/26/sticker/i0475690629.gif;https://upload3.inven.co.kr/upload/2024/11/26/sticker/i0381844626.gif,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
신기한 딜러를 봄,https://www.inven.co.kr/board/lostark/6271/2059634?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,Rak6333,2025-05-28 16:02,유각 80권 유저인데 타대에 돌대돌을 낀 소울이터인데 돌대 각인이 안 껴져있음 모르는 거였을까 시비 털기 싫어서 냅두긴했는데 신기한 사람이었음,,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
폿 7겁작으로 레이드 가능?,https://www.inven.co.kr/board/lostark/6271/2059573?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,대설특보,2025-05-28 15:51,보석 싹 내리고 골드나 캘까싶지만 레이드 못가면 의미없자너 유각70장에 상중악세는 끼고있는디 강습빼고 다 랏딜이라 가능하려나,https://upload3.inven.co.kr/upload/2025/05/28/bbs/i1599250028.jpg?MW=800,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
싹 6겁작으로 낮추고 하습 비벼봐도 되냐,https://www.inven.co.kr/board/lostark/6271/2059504?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,밍라밍,2025-05-28 15:41,각성빼고 올유각에 유물상중임ㅎ,,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
올유각 6겁작 취업댐?,https://www.inven.co.kr/board/lostark/6271/2059495?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,냄냄뉴,2025-05-28 15:40,즐로아 2300 나오는디,,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
원한유각 아직 사지마라,https://www.inven.co.kr/board/lostark/6271/2059422?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,암어버네너,2025-05-28 15:30,혐젤갓께서 사는거 아니라고하심,https://upload3.inven.co.kr/upload/2025/05/28/bbs/i1569031345.jpg?MW=800,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
나만의 쌀먹 구별 잣대,https://www.inven.co.kr/board/lostark/6271/2059413?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,드비안느,2025-05-28 15:28,"내가 쌀 여부를 판단하는 기준은, 내가 실제로 플레이했던 당시 상황과 현재를 비교하는 것이다 작년 10월, 내가 게임을 접었을 당시 본캐는 1715레벨이었다  그 시절을 떠올려보면, 내가 버스를 입문시켜주고 골드수급량을 늘리는법을 알려줬던 길드원 한 명이 있었다 그 사람은 당시 나보다 레벨이 낮았고, 1700 초반 정도였던 걸로 기억한다 그 후로도 그는 계속 쌀을 팔았고, 그 사실을 주변에 거리낌 없이 이야기했기 때문에 나도 잘 알고 있다 그런데 지금 그 사람이 유각도 거의 다 읽고 1740레벨까지 올린 상태다  그래서 나는 이 사람을 '비교 기준'으로 삼는다   현재 시점 원정대 350+- / 1720~1730 유각 절반도 못 읽은 상태 본캐 및 배럭들 보석 상태가 온전치 못하거나 카르마 3종 다 채운 상태  → 위 조건에 해당되면 높은 확률로 당첨이다  원정대가 낮으면 그럴수있다 원정대 레벨이 높은데 체급이 안된다? 30000%   위 조건에 해당되는데 , 개소리 지껄이는애들 보면   이들이 하는 말은 결국 하나로 귀결된다 “내 손해”, “쌀값 지켜줘” 나는 기준 없이 쌀팔이라 부르지 않는다  그리고 쌀을 파는 행위를 나쁘다고 보는사람도 아니다  단, 쌀을 누구보다 열심히 팔아놓고 , OO 척 하는것이 싫을뿐   모두가 그렇다는건 아닌데, 난 나의 개인적인 잣대는 그렇다 의외로 이게 ㅈㄴ 정확하다    그리고 다음주도 이거니깐 빨리 털어라",https://upload3.inven.co.kr/upload/2025/05/27/bbs/i1625158627.jpg?MW=800,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
보석 파는게 접어서 그런건가??,https://www.inven.co.kr/board/lostark/6271/2059399?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,Super망치,2025-05-28 15:26,"내 두뇌로 생각하기에  그럼 악세 매물도 ㅈㄴ 처박아야하는데  왜 상중,상상은 폭락이 없고  유각도 버티는데  보석만 폭락하지??",,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
폐지유각단 카제전에 정상화해라,https://www.inven.co.kr/board/lostark/6271/2059187?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,이어서,2025-05-28 14:52,2막3막강습개꿀빨았다  카제전에 정상화해라,https://upload3.inven.co.kr/upload/2024/10/24/sticker/i0859629935.gif,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
불과몇달전만해도 16.5패키지 유각한장 꽁짜네 ㅋㅋ 하면서,https://www.inven.co.kr/board/lostark/6271/2059155?name=subjcont&keyword=%EC%9C%A0%EA%B0%81,noiutaRiffle,2025-05-28 14:47,산건 먼데... 하,,유각,65200605;65201505;65203105;65203905;65200805;65203305;65204105;65201005;65203705;65203505;65202805;65200505;65203005
